id,filtered_words,features,label_index
R129,"['middle','present','degree','suffer','long','put','paper','camera','true','simply','cost','factor','miss','experts','discuss','ongoing','developments','election']","(1000,[17,25,87,90,101,173,194,212,242,321,380,454,533,567,755,766,801,995],[2.958509563063383,3.7316994512968646,2.8154087194227095,3.125563647726549,4.019381523748645,3.577548771469606,2.8844015909096608,0.6753425559264385,2.8844015909096608,0.667530016189645,4.270695952029551,4.270695952029551,4.42484663185681,0.6792718340663283,4.42484663185681,3.8187108282864943,4.42484663185681,0.691153161953081])",1.0
R227,"['quickly','heavy','chance','major','particular','mean','special','three','tax','consider','several','many','suggest','program','suggest','experts','discuss','ongoing','developments','climate','change']","(1000,[28,32,86,87,149,174,212,270,321,360,390,392,413,491,567,625,927,938,978,995],[3.8187108282864943,3.4440173788450834,3.383392757028649,2.8154087194227095,3.7316994512968646,3.4440173788450834,0.6753425559264385,4.019381523748645,0.667530016189645,4.137164559405029,4.270695952029551,4.607168188650764,4.137164559405029,2.958509563063383,0.6792718340663283,2.849310271098391,6.888034757690167,2.455405985391302,3.8187108282864943,0.691153161953081])",1.0
F231,"['force','value','see','customer','knowledge','responsibility','vote','program','civil','design','sport','establish','security','—','shocking','claims','aliens','surface','internet']","(1000,[67,75,230,233,311,491,517,560,835,837,854,861,903,912,915,928,929,978,989],[2.7826188965997183,4.270695952029551,0.6871770135734415,0.667530016189645,3.5085558999826545,2.958509563063383,0.6753425559264385,3.0385522707369192,4.019381523748645,0.691153161953081,3.2208738275308737,4.137164559405029,3.6516567436233283,0.6832166123573445,3.125563647726549,3.8187108282864943,2.920769235080536,3.8187108282864943,4.42484663185681])",0.0
R066,"['water','power','particularly','power','south','teach','strong','good','see','within','upon','experts','discuss','ongoing','developments','policy']","(1000,[5,75,105,113,212,234,321,375,418,466,534,567,782,875,995],[4.270695952029551,4.270695952029551,3.7316994512968646,4.270695952029551,0.6753425559264385,2.6902455764687034,0.667530016189645,4.019381523748645,4.137164559405029,3.172083663361442,3.4440173788450834,0.6792718340663283,6.888034757690167,2.997730276216664,0.691153161953081])",1.0
F095,"['eye','record','drive','dinner','pressure','me','city','purpose','song','spend','economic','market','represent','—','shocking','claims','mind','control','surface','internet']","(1000,[199,230,233,248,284,300,310,318,517,535,582,592,775,825,837,855,896,906,912,938],[5.523458920524919,0.6871770135734415,0.667530016189645,3.7316994512968646,3.383392757028649,3.8187108282864943,2.5530444549552183,4.830311739964974,0.6753425559264385,2.6902455764687034,3.172083663361442,4.607168188650764,2.997730276216664,4.137164559405029,0.691153161953081,3.5085558999826545,3.5085558999826545,3.8187108282864943,0.6832166123573445,2.455405985391302])",0.0
R174,"['necessary','enough','represent','trade','treatment','outside','ball','conference','control','south','structure','everything','despite','experts','discuss','ongoing','developments','policy']","(1000,[43,105,212,222,234,321,453,464,567,591,680,784,823,851,855,933,938,995],[4.270695952029551,3.7316994512968646,0.6753425559264385,3.3262343431887,2.6902455764687034,0.667530016189645,3.2208738275308737,3.125563647726549,0.6792718340663283,4.270695952029551,3.6516567436233283,2.958509563063383,3.577548771469606,3.4440173788450834,3.5085558999826545,3.914021008090819,2.455405985391302,0.691153161953081])",1.0
R201,"['resource','nearly','particularly','home','unit','way','plan','represent','decision','position','girl','despite','bar','black','enter','piece','social','similar','style','section','key','experts','discuss','ongoing','developments','public','health']","(1000,[80,168,184,212,245,321,324,345,363,429,464,534,567,600,618,643,661,851,854,855,896,925,926,942,982,995,996],[3.383392757028649,2.661258039595451,4.137164559405029,0.6753425559264385,4.42484663185681,0.667530016189645,3.4440173788450834,4.42484663185681,4.42484663185681,3.4440173788450834,3.125563647726549,3.4440173788450834,0.6792718340663283,3.914021008090819,2.958509563063383,4.270695952029551,4.019381523748645,3.4440173788450834,3.2208738275308737,3.5085558999826545,3.5085558999826545,3.172083663361442,3.914021008090819,4.270695952029551,4.607168188650764,0.691153161953081,2.958509563063383])",1.0
R072,"['seem','section','health','fight','major','skin','article','occur','sure','amount','line','story','wind','southern','experts','discuss','ongoing','developments','education']","(1000,[160,169,212,321,327,336,491,518,567,662,673,707,717,856,873,896,974,995,996],[3.7316994512968646,4.270695952029551,0.6753425559264385,0.667530016189645,2.5277266469709283,3.577548771469606,2.958509563063383,4.270695952029551,0.6792718340663283,4.42484663185681,3.3262343431887,4.607168188650764,4.830311739964974,4.137164559405029,2.60568818844064,3.5085558999826545,3.3262343431887,0.691153161953081,2.958509563063383])",1.0
R064,"['ground','authority','design','model','west','with','agency','less','our','development','open','understand','plan','attention','line','experts','discuss','ongoing','developments','research']","(1000,[62,67,89,212,252,264,283,321,336,421,447,567,577,582,690,740,926,966,995],[3.914021008090819,5.565237793199437,3.577548771469606,0.6753425559264385,2.997730276216664,3.125563647726549,3.6516567436233283,0.667530016189645,3.577548771469606,3.383392757028649,2.8844015909096608,0.6792718340663283,2.920769235080536,3.172083663361442,3.2721671219184243,3.577548771469606,3.914021008090819,3.4440173788450834,0.691153161953081])",1.0
F037,"['check','radio','try','yard','few','ball','reflect','perhaps','cultural','play','source','less','blood','line','entire','around','mr','owner','develop','water','—','shocking','claims','miracle','drug','surface','internet']","(1000,[6,12,55,230,233,235,249,257,282,308,319,323,336,408,517,586,639,665,760,766,823,837,838,843,897,912,966],[4.019381523748645,4.830311739964974,4.270695952029551,0.6871770135734415,0.667530016189645,3.2721671219184243,3.7316994512968646,4.270695952029551,3.4440173788450834,3.914021008090819,5.117993812416755,5.117993812416755,3.577548771469606,3.5085558999826545,0.6753425559264385,3.7316994512968646,3.125563647726549,2.7826188965997183,3.8187108282864943,3.8187108282864943,3.577548771469606,0.691153161953081,4.42484663185681,3.6516567436233283,3.914021008090819,0.6832166123573445,3.4440173788450834])",0.0
R170,"['later','deep','condition','effort','market','worry','head','perform','teacher','certainly','quality','wide','experts','discuss','ongoing','developments','technology','breakthrough']","(1000,[7,86,195,212,248,321,383,497,567,572,584,599,667,742,782,829,833,995],[3.6516567436233283,3.383392757028649,3.6516567436233283,0.6753425559264385,3.7316994512968646,0.667530016189645,2.345405090176974,3.2721671219184243,0.6792718340663283,3.6516567436233283,3.8187108282864943,2.7200985396183848,3.4440173788450834,3.383392757028649,3.4440173788450834,2.8154087194227095,3.383392757028649,0.691153161953081])",1.0
F110,"['energy','capital','every','early','training','particular','war','effort','indicate','matter','side','probably','—','shocking','claims','celebrity','scandal','surface','internet']","(1000,[32,92,230,233,263,348,517,529,550,561,667,775,798,811,837,880,912,921,932],[3.4440173788450834,4.019381523748645,0.6871770135734415,0.667530016189645,5.117993812416755,3.8187108282864943,0.6753425559264385,3.2208738275308737,3.3262343431887,3.383392757028649,3.4440173788450834,2.997730276216664,3.0385522707369192,2.5277266469709283,0.691153161953081,3.8187108282864943,0.6832166123573445,3.125563647726549,2.849310271098391])",0.0
